"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
1.942.848;3;Bebidas y comidas infantiles;"""Sociedad Distribuidora Las Pataguas Ltda.""";Municipalidad de Santa Bárbara
81.005;1;Grasas y aceites animales comestibles;"""supermercado prat""";Municipalidad de Ninhue
126.212;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO Y PANADERIA BRICEÑO""";Municipalidad de Hualqui
417.595;2;Empanadas, tartas y pies;"""margarita de las mercedes""";Municipalidad de Panquehue
3.489.958;2;Bebidas y comidas infantiles;"""Distribuidora BKN""";Municipalidad de Las Cabras
139.194;1;Bebidas y comidas infantiles;"""SUPERMERCADO GHISELLINI""";Municipalidad de Los Sauces
4.795.238;3;Ensaladas preparadas;"""Redoffice""";Municipalidad de Ovalle
62.902;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Penco
4.793.364;8;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA REGIONAL VALDIVIA LTDA.""";Municipalidad de Lanco
301.583;1;Bebidas y comidas infantiles;"""roberto pastrian correa""";Municipalidad de Las Cabras
693.884;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Curacaví
1.452.924;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de La Unión
12.530.293;9;Grasas y aceites animales comestibles;"""Jonathan Andres""";Municipalidad de Santa Bárbara
1.662.022;2;Ensaladas preparadas;"""Comercial Brich""";Municipalidad de Alto Hospicio
238.912;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO GHISELLINI""";Municipalidad de Lumaco
4.334.534;16;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO COMBARBALA""";Municipalidad de Combarbalá
4.291.129;1;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Cerrillos
275.493;3;Bebidas y comidas infantiles;"""Supermercado Holzapfel""";Municipalidad de Toltén
338.501;1;Aceites vegetales y grasas comestibles;"""Rolando Antonio Rojas Leyton""";Municipalidad de Sagrada Familia
110.717;1;Bebidas y comidas infantiles;"""JOSE GONZALO""";Municipalidad de Curepto
381.261;1;Empanadas, tartas y pies;"""felipe alfonso hernandez perez""";Municipalidad de San Pedro de la Paz
173.332;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Distribuidora Galaz Ltda""";Municipalidad de San Pedro de la Paz
3.446.595;7;Empanadas, tartas y pies;"""www.coffebreak.cl -- Facilitador de eventos""";Municipalidad de Chiguayante
37.073;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""santalidia""";Municipalidad de Portezuelo
860.616;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Cartagena
368;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""CELSO MANUEL""";Municipalidad de Penco
1.388.325;1;Empanadas, tartas y pies;"""MYRIAM """;Municipalidad de Malloa
371.868;2;Empanadas, tartas y pies;"""CLAUDIA ANDREA VALDEBENITO ABURTO""";Municipalidad de La Unión
389.703;3;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Olivar
318.529;1;Aceites vegetales y grasas comestibles;"""vidriosaluminiosdupre""";Municipalidad de Ancud
7.343.549;3;Empanadas, tartas y pies;"""CARLOS CANALES ALFARO""";Municipalidad de Yerbas Buenas
3.729.963;12;Empanadas, tartas y pies;"""Priscila Fleming""";Municipalidad de Zapallar
1.222.519;6;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Pitrufquén
444.505;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Lampa
348.041;5;Empanadas, tartas y pies;"""NOELLY ISABEL ALMENDRAS RIVEROS""";Municipalidad de Quilleco
123.336;1;Aceites vegetales y grasas comestibles;"""ALEXIS ALEJANDRO""";Municipalidad de Empedrado
722.897;1;Empanadas, tartas y pies;"""CLAUDIA ELIZABETH""";Municipalidad de Arica
4.670.232;5;Aceites vegetales y grasas comestibles;"""jobercar""";Municipalidad de Yungay
303.995;1;Aceites vegetales y grasas comestibles;"""paraiso 2""";Municipalidad de Villa Alegre
525.911;1;Aceites vegetales y grasas comestibles;"""Luvaly SPA""";Municipalidad de Puerto Montt
314.148;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""FERRETERIA Y SUPERMERCADO LA COLERICA""";Municipalidad de Cobquecura
31.783;1;Aceites vegetales y grasas comestibles;"""SUPERMERCADO LA AVENIDA""";Municipalidad de Dalcahue
1.550.561;4;Acompañamientos preparados;"""la colerica""";Municipalidad de Quirihue
124.781;2;Empanadas, tartas y pies;"""Panaderia Pan Royal""";Municipalidad de Colbún
235.132;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Comercializadora Cabello Ltda.""";Municipalidad de Lampa
413.159;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Lampa
31.568;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Patty""";Municipalidad de Salamanca
536.341;1;Aceites vegetales y grasas comestibles;"""CRISTIAN MARCELO""";Municipalidad de Yerbas Buenas
811.678;3;Empanadas, tartas y pies;"""Panaderia Portales""";Municipalidad de La Ligua
340.276;1;Empanadas, tartas y pies;"""MARCIA CAQUEO ARANIBAR""";Municipalidad de Pozo al Monte
179.218;7;Aceites vegetales y grasas comestibles;"""Alda Nora""";Municipalidad de Cisnes
79.226;1;Empanadas, tartas y pies;"""Comercial San Antonio Limitada""";Municipalidad de Lautaro
229.885;1;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Osorno
363.858;1;Bebidas y comidas infantiles;"""Adolfo segundo""";Municipalidad de Pitrufquén
151.762;2;Bebidas y comidas infantiles;"""NOELLY ISABEL ALMENDRAS RIVEROS""";Municipalidad de Quilleco
508.686;5;Bebidas y comidas infantiles;"""timevent""";Municipalidad de Puente Alto
692.317;2;Empanadas, tartas y pies;"""Sandra Prosperina""";Municipalidad de Perquenco
86.294;1;Acompañamientos preparados;"""supermercado los aromos""";Municipalidad de Florida
934.361;3;Aceites vegetales y grasas comestibles;"""Evelyn peña""";Municipalidad de Coihueco
3.628.060;12;Empanadas, tartas y pies;"""MANUEL PADILLA RODRIGUEZ""";Municipalidad de Pichilemu
2.304.557;2;Aceites vegetales y grasas comestibles;"""Herman Alberto Rojas Alucema""";Municipalidad de Monte Patria
123.213;1;Aceites vegetales y grasas comestibles;"""Comercial Antuco""";Municipalidad de Quilleco
5.694.806;2;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Ovalle
2.185.569;3;Empanadas, tartas y pies;"""Comercial Climabest Ltda.""";Municipalidad de Estación Central
761.458;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Valparaíso
5.503.829;2;Ensaladas preparadas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Maipú
167.598;1;Empanadas, tartas y pies;"""Almacenes Eca""";Municipalidad de Cochrane
442.007;1;Empanadas, tartas y pies;"""Empanadas y Dulces Mary""";Municipalidad de Lota
380.209;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""RED OFFICE SUR LTDA.""";Municipalidad de La Unión
6.981.412;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Rica Aventura""";Municipalidad de Calama
382.529;1;Empanadas, tartas y pies;"""El Trebol Linares""";Municipalidad de Linares
9.597.434;12;Aceites vegetales y grasas comestibles;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Carahue
471.451;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""nancy calderon""";Municipalidad de Río Ibáñez
32.074;1;Acompañamientos preparados;"""paola natalie""";Municipalidad de Los Álamos
238.954;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de La Serena
5.625.277;4;Grasas y aceites animales comestibles;"""CABANAS REST EVENTOS LA VALENCIANA - PUYEHUE""";Municipalidad de Los Muermos
520.092;5;Bebidas y comidas infantiles;"""CLAUDIA DEL CARMEN""";Municipalidad de Longaví
2.777.279;6;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Copiapo
549.379;2;Empanadas, tartas y pies;"""CLAUDIA MARLENNE""";Municipalidad de La Ligua
166.639;1;Grasas y aceites animales comestibles;"""MANUEL CAMPOS CHAVEZ""";Municipalidad de Palena
480.112;2;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Pitrufquén
